时间,假面骑士,元气骑士,bilibili
2011-01-08,3669,0,4820
2011-01-15,3581,0,4890
2011-01-22,4472,0,5367
2011-01-29,4917,0,6010
2011-02-05,4747,0,7801
2011-02-12,4665,0,7922
2011-02-19,4090,0,7861
2011-02-26,3100,0,6820
2011-03-05,3468,0,6735
2011-03-12,3320,0,6569
2011-03-19,3767,0,6554
2011-03-26,3854,0,6754
2011-04-02,3758,0,6792
2011-04-09,4946,0,9244
2011-04-16,4060,0,8173
2011-04-23,4267,0,8420
2011-04-30,4025,0,8746
2011-05-07,4616,0,9818
2011-05-14,4005,0,8292
2011-05-21,4338,0,8298
2011-05-28,4530,0,7897
2011-06-04,5171,0,8388
2011-06-11,5789,0,11088
2011-06-18,4912,0,9162
2011-06-25,5408,0,9251
2011-07-02,6648,0,14483
2011-07-09,7585,0,7475
2011-07-16,7044,0,6219
2011-07-23,6689,0,5220
2011-07-30,6880,0,5264
2011-08-06,6945,0,6015
2011-08-13,7321,0,7441
2011-08-20,6381,0,7085
2011-08-27,7591,0,7655
2011-09-03,6449,0,7260
2011-09-10,4908,0,6552
2011-09-17,5425,0,7818
2011-09-24,4603,0,6649
2011-10-01,5115,0,7358
2011-10-08,8148,0,11155
2011-10-15,3737,0,8367
2011-10-22,5343,0,8730
2011-10-29,5319,0,9190
2011-11-05,5650,0,10090
2011-11-12,5950,0,11327
2011-11-19,5751,0,10795
2011-11-26,5854,0,10596
2011-12-03,6516,0,11498
2011-12-10,6284,0,11124
2011-12-17,5968,0,10547
2011-12-24,5838,0,11356
2011-12-31,5570,0,10592
2012-01-07,7529,0,13993
2012-01-14,8757,0,13458
2012-01-21,9078,0,16272
2012-01-28,7905,0,20400
2012-02-04,8086,0,18429
2012-02-11,7293,0,16570
2012-02-18,5860,0,15056
2012-02-25,6622,0,14756
2012-03-03,6793,0,14169
2012-03-10,7145,0,15165
2012-03-17,6593,0,14604
2012-03-24,6825,0,14564
2012-03-31,6313,0,14404
2012-04-07,9297,0,20047
2012-04-14,6828,0,18690
2012-04-21,7571,0,17777
2012-04-28,7462,0,17124
2012-05-05,10078,0,21305
2012-05-12,7551,0,17992
2012-05-19,8061,0,17385
2012-05-26,7980,0,17545
2012-06-02,8394,0,17560
2012-06-09,8051,0,18756
2012-06-16,7419,0,20058
2012-06-23,8890,0,20127
2012-06-30,9206,0,21160
2012-07-07,10917,0,22748
2012-07-14,10419,0,24153
2012-07-21,9892,0,24693
2012-07-28,9679,0,24967
2012-08-04,9418,0,24840
2012-08-11,9185,0,25914
2012-08-18,9510,0,25603
2012-08-25,8440,0,24885
2012-09-01,8352,0,24349
2012-09-08,5483,0,18933
2012-09-15,5989,0,19189
2012-09-22,5691,0,19367
2012-09-29,5362,0,18793
2012-10-06,9729,0,31568
2012-10-13,5286,0,23701
2012-10-20,5803,0,25352
2012-10-27,5776,0,23536
2012-11-03,5684,0,24224
2012-11-10,5620,0,23192
2012-11-17,5574,0,24573
2012-11-24,5428,0,23769
2012-12-01,5993,0,22957
2012-12-08,6586,0,24753
2012-12-15,6279,0,22985
2012-12-22,6538,0,26040
2012-12-29,5894,0,25787
2013-01-05,8602,0,32206
2013-01-12,4803,0,25180
2013-01-19,6461,0,30608
2013-01-26,7813,0,32992
2013-02-02,9366,0,36686
2013-02-09,9051,0,40520
2013-02-16,8483,0,56293
2013-02-23,8187,0,40157
2013-03-02,5954,0,29911
2013-03-09,5680,0,25464
2013-03-16,6052,0,25886
2013-03-23,6542,0,25619
2013-03-30,6495,0,27078
2013-04-06,8883,0,33572
2013-04-13,5353,0,27608
2013-04-20,6879,0,30828
2013-04-27,6562,0,29270
2013-05-04,8765,0,44576
2013-05-11,6345,0,37927
2013-05-18,6431,0,35865
2013-05-25,6866,0,35088
2013-06-01,6986,0,40441
2013-06-08,6940,0,49834
2013-06-15,8262,0,51874
2013-06-22,6953,0,49057
2013-06-29,7787,0,46831
2013-07-06,9546,0,52161
2013-07-13,9085,0,50879
2013-07-20,8598,0,52139
2013-07-27,8439,0,57678
2013-08-03,8458,0,52983
2013-08-10,8209,0,56230
2013-08-17,8395,0,57378
2013-08-24,8481,0,58255
2013-08-31,8601,0,58072
2013-09-07,4901,0,42870
2013-09-14,5267,0,40020
2013-09-21,7342,0,50675
2013-09-28,4656,0,44480
2013-10-05,8622,0,61999
2013-10-12,5947,0,56183
2013-10-19,5346,0,47844
2013-10-26,5673,0,46956
2013-11-02,5671,0,45883
2013-11-09,6077,0,46347
2013-11-16,5915,0,45691
2013-11-23,5829,0,42861
2013-11-30,5697,0,41625
2013-12-07,5614,0,39744
2013-12-14,5395,0,39774
2013-12-21,5631,0,43195
2013-12-28,5463,0,41778
2014-01-04,7025,0,49126
2014-01-11,5903,0,48051
2014-01-18,7665,0,53452
2014-01-25,8193,0,62036
2014-02-01,10162,0,68089
2014-02-08,10460,0,65002
2014-02-15,9879,0,63872
2014-02-22,6229,0,54058
2014-03-01,6724,0,53399
2014-03-08,6657,0,54808
2014-03-15,8115,0,53121
2014-03-22,8933,0,52604
2014-03-29,8903,0,50352
2014-04-05,9241,0,50878
2014-04-12,9646,0,48711
2014-04-19,8106,0,52174
2014-04-26,8887,0,59243
2014-05-03,12346,0,75989
2014-05-10,7542,0,60377
2014-05-17,9552,0,58555
2014-05-24,9643,0,52469
2014-05-31,10637,0,52971
2014-06-07,11247,0,58384
2014-06-14,10851,0,66763
2014-06-21,11709,9,78159
2014-06-28,12060,81,70680
2014-07-05,13172,196,68468
2014-07-12,13250,168,70747
2014-07-19,13032,155,81467
2014-07-26,12760,111,79165
2014-08-02,14532,93,80968
2014-08-09,15106,101,77565
2014-08-16,16406,54,68575
2014-08-23,15500,69,66693
2014-08-30,15840,72,63594
2014-09-06,9595,88,59729
2014-09-13,11412,116,52995
2014-09-20,9783,88,47892
2014-09-27,10984,98,50930
2014-10-04,16777,45,69230
2014-10-11,14240,52,85393
2014-10-18,10622,45,72370
2014-10-25,11584,17,76996
2014-11-01,11671,9,65673
2014-11-08,11137,17,57912
2014-11-15,10634,9,60211
2014-11-22,10426,35,77596
2014-11-29,10390,17,77268
2014-12-06,9702,26,81002
2014-12-13,9886,26,83950
2014-12-20,9086,108,80879
2014-12-27,7783,70,80835
2015-01-03,10965,44,108147
2015-01-10,10057,45,87250
2015-01-17,10501,35,90360
2015-01-24,7553,26,97365
2015-01-31,8380,27,100631
2015-02-07,9085,27,106667
2015-02-14,9588,17,111218
2015-02-21,9381,17,122751
2015-02-28,9588,17,128368
2015-03-07,9115,71,149564
2015-03-14,5768,9,104902
2015-03-21,6721,26,109390
2015-03-28,6753,26,107051
2015-04-04,7644,44,113331
2015-04-11,8463,26,118359
2015-04-18,7092,36,100744
2015-04-25,7735,17,98169
2015-05-02,8762,63,105288
2015-05-09,7062,45,107355
2015-05-16,7152,44,102656
2015-05-23,7609,70,115950
2015-05-30,7512,26,111860
2015-06-06,7956,62,119580
2015-06-13,8329,62,125392
2015-06-20,8224,43,124656
2015-06-27,9369,35,131793
2015-07-04,10239,28,141178
2015-07-11,11517,82,154007
2015-07-18,11516,55,166338
2015-07-25,11972,97,159276
2015-08-01,12045,64,173582
2015-08-08,12982,82,165407
2015-08-15,14984,100,168072
2015-08-22,14334,36,167365
2015-08-29,13181,27,172595
2015-09-05,11596,9,166316
2015-09-12,7803,26,129916
2015-09-19,7340,17,124045
2015-09-26,7397,36,126923
2015-10-03,10355,53,143211
2015-10-10,10109,45,145039
2015-10-17,6842,26,132251
2015-10-24,7800,35,140242
2015-10-31,7844,27,143556
2015-11-07,7657,37,137929
2015-11-14,7947,27,136794
2015-11-21,7865,17,144890
2015-11-28,8305,9,144759
2015-12-05,7865,18,139169
2015-12-12,7921,9,142088
2015-12-19,7983,35,143197
2015-12-26,8152,9,139522
2016-01-02,9779,35,153516
2016-01-09,8198,26,153298
2016-01-16,8404,0,154748
2016-01-23,10357,9,158376
2016-01-30,10974,9,157338
2016-02-06,10027,0,161773
2016-02-13,8055,17,146542
2016-02-20,8715,27,154701
2016-02-27,7258,9,149934
2016-03-05,6523,18,139035
2016-03-12,7064,9,143693
2016-03-19,6873,9,140764
2016-03-26,7219,27,135720
2016-04-02,6836,18,136491
2016-04-09,8104,27,152344
2016-04-16,6690,17,151816
2016-04-23,5998,50,154380
2016-04-30,7199,66,160596
2016-05-07,7567,9,160065
2016-05-14,6808,9,157995
2016-05-21,6933,17,166832
2016-05-28,7340,9,171597
2016-06-04,7396,0,172780
2016-06-11,8888,0,185725
2016-06-18,6691,9,167292
2016-06-25,8182,0,178749
2016-07-02,9193,0,188231
2016-07-09,9421,0,196172
2016-07-16,9532,0,203212
2016-07-23,9303,0,197684
2016-07-30,9213,0,202069
2016-08-06,9500,9,206314
2016-08-13,9261,0,203710
2016-08-20,9151,9,205056
2016-08-27,8705,0,205765
2016-09-03,7384,0,198232
2016-09-10,5862,0,176982
2016-09-17,7901,0,204799
2016-09-24,5650,0,164068
2016-10-01,6843,0,131993
2016-10-08,10273,9,197224
2016-10-15,5221,9,178247
2016-10-22,6671,0,190626
2016-10-29,6683,0,185134
2016-11-05,6526,0,176503
2016-11-12,6705,0,134345
2016-11-19,6706,9,110445
2016-11-26,6622,0,135312
2016-12-03,6285,0,178799
2016-12-10,6708,0,180133
2016-12-17,6340,0,175035
2016-12-24,6577,0,177614
2016-12-31,6846,0,180881
2017-01-07,7425,0,197097
2017-01-14,7505,0,196285
2017-01-21,8427,0,201196
2017-01-28,8086,0,205929
2017-02-04,7993,0,191185
2017-02-11,8058,0,199545
2017-02-18,6172,188,179949
2017-02-25,6490,1499,186825
2017-03-04,6410,2510,186593
2017-03-11,6653,3608,188326
2017-03-18,6856,3194,191692
2017-03-25,7132,2803,196165
2017-04-01,6916,2700,196310
2017-04-08,7826,3904,209135
2017-04-15,7202,3488,192016
2017-04-22,7187,5175,195787
2017-04-29,7431,6379,195320
2017-05-06,8214,6417,211940
2017-05-13,7874,5097,203451
2017-05-20,8273,4885,207300
2017-05-27,8747,4474,210829
2017-06-03,9775,5165,223281
2017-06-10,9178,3865,228394
2017-06-17,8684,4146,227883
2017-06-24,9089,8239,228371
2017-07-01,9279,10650,211241
2017-07-08,9263,11119,215166
2017-07-15,9290,11245,216480
2017-07-22,9328,9729,207561
2017-07-29,8906,8993,202426
2017-08-05,8522,8731,199712
2017-08-12,8094,7838,195371
2017-08-19,8307,7337,198327
2017-08-26,8996,7167,175553
2017-09-02,8077,6206,163078
2017-09-09,7513,3871,152160
2017-09-16,6519,3886,152475
2017-09-23,6612,4087,149940
2017-09-30,6436,4792,149447
2017-10-07,9675,14423,165391
2017-10-14,5891,6893,150575
2017-10-21,6184,6641,157830
2017-10-28,6295,6462,152108
2017-11-04,6079,6012,148760
2017-11-11,6031,6869,148285
2017-11-18,6234,6018,147217
2017-11-25,6296,5791,141591
2017-12-02,6557,5447,153937
2017-12-09,6559,5026,150256
2017-12-16,6806,5685,146058
2017-12-23,6760,6497,144139
2017-12-30,7169,6360,147089
2018-01-06,7484,7096,144221
2018-01-13,7223,5620,149819
2018-01-20,7497,5887,151105
2018-01-27,8226,6974,149770
2018-02-03,8643,8463,159650
2018-02-10,9015,12824,162587
2018-02-17,9374,13998,152252
2018-02-24,9085,14343,143235
2018-03-03,7730,9255,158775
2018-03-10,6727,7775,164740
2018-03-17,7047,8341,167976
2018-03-24,7156,8493,121443
2018-03-31,7009,9042,117550
2018-04-07,8784,12954,118152
2018-04-14,6401,7014,108024
2018-04-21,7162,8363,108114
2018-04-28,7042,7917,107484
2018-05-05,7903,11858,101135
2018-05-12,7282,7973,88494
2018-05-19,6884,7727,92804
2018-05-26,7032,7752,98329
2018-06-02,7328,8337,96240
2018-06-09,7832,8226,102540
2018-06-16,7890,7513,101671
2018-06-23,8063,7411,94266
2018-06-30,7728,6564,93991
2018-07-07,6645,9723,95817
2018-07-14,6960,12602,96888
2018-07-21,7097,21419,95726
2018-07-28,8675,17857,112397
2018-08-04,8832,16324,123363
2018-08-11,8449,14469,116323
2018-08-18,8080,13566,113039
2018-08-25,7237,11582,120257
2018-09-01,6974,8957,125781
2018-09-08,6784,4147,127488
2018-09-15,5987,4519,143040
2018-09-22,5848,4847,148984
2018-09-29,6073,5962,147439
2018-10-06,8859,15329,143041
2018-10-13,6902,7349,151576
2018-10-20,7863,8342,154140
2018-10-27,8557,9441,159994
2018-11-03,8055,10194,157295
2018-11-10,8400,8534,161847
2018-11-17,8038,7673,152097
2018-11-24,8080,7982,151798
2018-12-01,8501,8395,149150
2018-12-08,9008,7748,130888
2018-12-15,8232,6915,104296
2018-12-22,8693,7305,98858
2018-12-29,9024,9700,97569
2019-01-05,9924,13346,96203
2019-01-12,10043,9185,98156
2019-01-19,9686,11900,100418
2019-01-26,11427,20205,102065
2019-02-02,12094,27266,104579
2019-02-09,12181,28345,83097
2019-02-16,12119,21673,93941
2019-02-23,9906,15293,99698
2019-03-02,9017,11299,99928
2019-03-09,9321,13220,102214
2019-03-16,10044,12512,101919
2019-03-23,10295,12575,102627
2019-03-30,10441,12653,114846
2019-04-06,12312,15740,111943
2019-04-13,10496,12317,107849
2019-04-20,9836,13673,120445
2019-04-27,9934,16204,117504
2019-05-04,10800,21809,110376
2019-05-11,9253,9702,110361
2019-05-18,9795,11798,119546
2019-05-25,9808,12271,115323
2019-06-01,9717,11512,108946
2019-06-08,10887,13920,111880
2019-06-15,9927,9626,111988
2019-06-22,10041,10641,113359